GRB	Time [UT]	Trigger Number	BAT RA (J2000)	BAT Dec (J2000)
110726A	01:30:40	458059	286.713	56.070
110719A	06:09:11	457553	24.570	34.578
110715A	13:13:50	457330	237.665	-46.237
110709B	21:32:39	456967|456969	164.668	-23.470
110709A	15:24:29	456939	238.895	40.918
110625A	21:08:28	456073	286.751	6.755
110610A	15:21:32	455155	308.205	74.827
110530A	15:31:02	454473	282.045	61.953
110521A	15:51:31.4	453788	120.132	45.818
110520A	20:28:48	453747	134.363	56.418
110519A	02:12:16	453628	261.638	-23.426
110503A	17:35:45	452685	132.799	52.211
110422A	15:41:55	451901	112.057	75.100
110420B	22:42:11	451794	320.045	-41.277
110420A	11:02:24	451757	2.164	-37.877
110414A	07:42:14	451343	97.876	24.349
110412A	07:33:21	451191	133.491	13.488
110411A	19:34:11	451165	291.427	67.706
110407A	14:06:41	450884	186.022	15.726
110402A	00:12:57	450545	197.432	61.247
110319B	19:34:02	Ground Analysis|20158	326.088	-56.774
110319A	02:16:41	449578	356.510	-66.008
110318B	15:27:09	449549	211.691	-51.577
110318A	13:14:19	449542	338.292	-15.278
110315A	23:57:04	449399	279.205	17.537
110312A	17:55:37	449074	157.500	-5.259
110305A	06:38:01	448229	260.877	-15.810
110223B	21:25:48	446677	150.340	-68.329
110223A	20:56:59	446674	345.386	87.586
110213A	05:17:29	445414	42.978	49.278
110212A	01:09:08	445321	69.025	43.716
110210A	09:52:41	445141	13.108	7.778
110208A	21:10:46	445038	22.487	-20.561
110207A	11:17:20	444912	12.540	-10.790
110205A	02:02:41	444643	164.603	67.533
